Permethrin,Scabies
Claritin Reditabs,Coronary Artery Disease
Vitamin B12 TR,Coronary Artery Disease
Potassium Gluconate,Hyperlipidemia
Bethanechol Chloride,Allergic Rhinitis
Excedrin Extra Strength,Hypertension
Nisoldipine,Hypertension
HumaLOG Mix 75/25,Depression
Prenatal Vitamins,Alcohol
MSM,Alcohol Use
NyQuil,Alcohol Use
BD Ultra Fine Syringes,Tobacco Use
Cod Liver Oil,Tobacco Use
Guaiatussin AC,Tobacco Use
Amiloride-Hydrochlorothiazide,Depression
Cranberry,Arthritis
Rituxan,Arthritis
Alrex,Exercising Regularly
Ciprofloxacin-Ciproflox HCl,Exercising Regularly
Hytrin,Alcohol
Caltrate Plus,Drug Use
Lipofen,Drug Use
Chloraseptic Gargle,Tobacco Use
IBU,Tobacco Use
Adderall XR,Alcohol
RisperDAL,Alcohol
FreeStyle Freedom Lite,Essential Hypertension
Cefpodoxime Proxetil,Alcohol Use
Anucort-HC,Drug Use
Lidocaine HCl,Drug Use
CitraNatal Rx,Marital History - Currently Married
Concept DHA,Anemia
Loratadine-Pseudoephedrine,Occupation:
Magic Mouthwash,Diabetes Mellitus
Sulfatrim,Esophageal Reflux
Multi-Day,Essential Hypertension
Oracea,Drug Use
Bentyl,Tobacco Use
Cardura,Hypothyroidism
TriLyte,Depression
ZyPREXA,Hypertension
Colestipol HCl,Hypothyroidism
Slow Fe,Hypothyroidism
Indapamide,Diabetes Mellitus
Tylenol PM Extra Strength,Hypothyroidism
Macrobid,Marital History - Currently Married
Diastat Pediatric,Allergies
FA-Cyanocobalamin-Pyridoxine,Tobacco Use
Pyridostigmine Bromide,Stroke Syndrome
Azmacort,Allergic Rhinitis
DuoNeb,Allergic Rhinitis
Alpha Lipoic Acid,Diabetes Mellitus
Bayer Low Strength,Diabetes Mellitus
Tandem,Diabetes Mellitus
Lotensin HCT,Diabetes Mellitus
Microgestin FE 1.5/30,Migraine Headache
Estratest,Depression
Vitamin B12,Diabetes Mellitus
Prochlorperazine Maleate,Hypertension
ZyPREXA,Drug Use
ClonazePAM ODT,Hypertension
Dexamethasone,Diabetes Mellitus
Mometasone Furoate,Drug Use
Mag-Oxide,Hyperlipidemia
Accuretic,Tobacco Use
Heparin Lock Flush,Tobacco Use
Iquix,Tobacco Use
Multivitamin/Mineral Formula,Tobacco Use
Robitussin Cough/Congestion,Tobacco Use
Testosterone Enanthate,Occupation:
Pacerone,Alcohol Use
Amerge,Alcohol
Onglyza,Hysterectomy
Lotrel 10/40 Capsule,Hyperlipidemia
Propoxyphene-APAP,Hyperlipidemia
Amitiza,Alcohol Use
Midodrine HCl,Alcohol
OneTouch Ultra Mini,Allergic Rhinitis
Excedrin Migraine,Essential Hypertension
Epidrin,Occupation:
Orphenadrine Citrate CR,Tobacco Use
Sudafed,Tobacco Use
Preparation H,Alcohol
Apidra,Tobacco Use
Loestrin 1/20 (21),Marital History - Currently Married
Ketoprofen,Tobacco Use
Prenatal 1 Plus 1,Drug Use
Integra Plus,Tobacco Use
Junel FE 1/20,Tobacco Use
Latisse,Tobacco Use
Amiloride-Hydrochlorothiazide,Diabetes Mellitus
Prezista,Diabetes Mellitus
Clopidogrel Bisulfate,Hypothyroidism
Pulmicort Flexhaler,Hypothyroidism
Isosorbide Dinitrate,Occupation:
Toviaz,Hypertension
Nulytely with Flavor Packs,Benign Essential Hypertension
Diltiazem HCl ER Beads,Tobacco Use
Multi Vitamin/Minerals,Alcohol Use
Cytra-2,Hypertension
Nulytely with Flavor Packs,Hypertension
Enalapril-Hydrochlorothiazide,Allergic Rhinitis
Elmiron,Appendectomy
SimplyThick,Asthma
Guaifenesin-DM,Asthma
Calcium + D + K,Tonsillectomy
GlyBURIDE Micronized,Arthritis
Sulindac,Arthritis
Pyridoxine HCl,Diabetes Mellitus
Novolin L,Hypertension
Dorzolamide HCl-Timolol Mal,Hyperlipidemia
Aspir-Low,Tonsillectomy
BD Pen Needle Ultrafine,Tonsillectomy
Glucosamine 1500 Complex,Tonsillectomy
Prenate Elite,Alcohol
Taclonex,Alcohol
Fosrenol,Drug Use
BuPROPion HCl (Smoking Deter),Depression
Calcium 600,Marital History - Currently Married
Femcon Fe,Alcohol
Wheelchair,Alcohol
Dyazide,Occupation:
Stalevo 200,Normal Routine History And Physical Geriatric (80 +)
Nadolol,Essential Hypertension
Prometrium,Drug Use
Ammonium Lactate,Drug Use
Oxytrol,Stroke Syndrome
Ranitidine,Esophageal Reflux
Reglan,Asthma
Potassium Citrate,Drug Use
AMILoride HCl,Obesity
Ritalin LA,Obesity
Magnesium,Occupation:
Suprax,Diabetes Mellitus
Vasotec,Normal Routine History And Physical Geriatric (80 +)
Clindesse,Drug Use
Acebutolol HCl,Benign Essential Hypertension
Chloraseptic Gargle,Benign Essential Hypertension
Zaroxolyn,Benign Essential Hypertension
Cinnamon,Essential Hypertension
Azilect,Depression
Senna,Drug Use
Flector,Hyperlipidemia
Nortriptyline HCl,Alcohol Use
Kadian,Stroke Syndrome
Arthrotec,Alcohol Use
Onglyza,Tobacco Use
Mometasone Furoate,Alcohol
Folbee,Drug Use
Aranesp (Albumin Free),Hypertension
Dilaudid,Esophageal Reflux
Zofran,Occupation:
Atarax,Asthma
Retin-A Micro Pump,Stroke Syndrome
Bayer Aspirin EC Low Dose,Hyperlipidemia
Glucosamine-Chondroitin,Hyperlipidemia
Vivelle-Dot,Hyperlipidemia
Co Q10,Tobacco Use
Guaifenesin/PSE SA,Tobacco Use
Saw Palmetto,Tobacco Use
Glucotrol,Drug Use
Loperamide HCl,Esophageal Reflux
Co Q-10,Diabetes Mellitus
Multi Vitamin Mens,Diabetes Mellitus
Phenylephrine CM,Caffeine Use
Chromium Picolinate,Drug Use
Hydrocodone-Guaifenesin,Drug Use
Calcium 600+D,Drug Use
Etodolac CR,Drug Use
Levocetirizine Dihydrochloride,Drug Use
Tobramycin,Drug Use
Lotensin,Coronary Artery Disease
Vicodin HP,Alcohol
Antivert,Hypothyroidism
Cardizem,Esophageal Reflux
Epzicom,Anemia
Jolivette,Drug Use
Kapidex,Drug Use
Fiber,Arthritis
Restoril,Hypertension
DynaCirc CR,Hysterectomy
Excedrin,Hysterectomy
Flovent Diskus,Hysterectomy
Indapamide,Drug Use
Medrol (Pak),Tonsillectomy
Vitamin B-1,Tonsillectomy
Butalbital-Aspirin-Caffeine,Drug Use
Excedrin Extra Strength,Drug Use
Prinzide,Drug Use
Multaq,Heart Disease
Digoxin-Tab,Coronary Artery Disease
Glucosamine Sulfate,Coronary Artery Disease
Flaxseed Oil,Heart Disease
Nevanac,Benign Essential Hypertension
Dorzolamide HCl-Timolol Mal,Tobacco Use
Pacerone,Marital History - Currently Married
Coenzyme Q-10,Appendectomy
Vitamin D-3,Appendectomy
Prezista,Occupation:
Prenatal Vitamin,Marital History - Currently Married
Primidone,Normal Routine History And Physical Geriatric (80 +)
Tylenol with Codeine #3,Tobacco Use
Wellbutrin,Alcohol
Promethegan,Essential Hypertension
Nitrolingual,Diabetes Mellitus
Omnaris,Diabetes Mellitus
Co Q-10,Heart Disease
Multi Vitamin Mens,Heart Disease
Iron Supplement,Drug Use
Urea,Benign Essential Hypertension
Rhinocort,Drug Use
Anastrozole,Hyperlipidemia
Lancets Ultra Thin,Depression
Guaiatussin AC,Essential Hypertension
InnoPran XL,Tobacco Use
Tylenol Arthritis Ext Relief,Tobacco Use
Toradol Oral,Alcohol Use
Cipro HC,Alcohol
AcetaZOLAMIDE,Alcohol
Magnesium Citrate,Anemia
Mometasone Furoate,Essential Hypertension
BuPROPion HCl (Smoking Deter),Essential Hypertension
Loprox,Essential Hypertension
Combivir,Essential Hypertension
Methotrexate,Hypertension
Bacitracin-Neomycin-Polymyxin,Allergic Rhinitis
Cardizem,Normal Routine History And Physical Geriatric (80 +)
Brimonidine Tartrate,Hypertension
Brovana,Hypertension
Potassium Gluconate,Hypertension
Caltrate 600+D,Never Smoked
Ditropan XL,Acute Upper Respiratory Infection
Acetylcysteine,Alcohol
Duragesic-50,Essential Hypertension
FreeStyle System,Essential Hypertension
Pyridium,Essential Hypertension
Rondex-DM,Essential Hypertension
Promethazine-Codeine,Hypothyroidism
Flovent Diskus,Upper Respiratory Infection
Alphagan,Diabetes Mellitus
ChlordiazePOXIDE HCl,Alcohol
Stalevo 100,Drug Use
Triazolam,Tobacco Use
Florastor,Alcohol
Estriol,Alcohol Use
Fosinopril Sodium,Drug Use
Phenytoin Sodium,Alcohol
B-6,Alcohol
Flax,Alcohol
BD Luer-Lok Syringe,Drug Use
Biotin,Tobacco Use
Multi Vitamin Mens,Tobacco Use
Cerefolin,Benign Essential Hypertension
Nicotrol,Benign Essential Hypertension
Flaxseed Oil,Benign Essential Hypertension
Detrol,Esophageal Reflux
Multiple Vitamins,Heart Disease
Pred Forte,Esophageal Reflux
Propecia,Hyperlipidemia
Oracea,Hypertension
Vasotec,Hypothyroidism
Androderm,Marital History - Currently Married
Questran,Esophageal Reflux
Brompheniramine-Pseudoeph,Hyperlipidemia
Calcium Citrate,Benign Essential Hypertension
Tequin,Benign Essential Hypertension
Propecia,Alcohol Use
Doxepin HCl,Drug Use
Halobetasol Propionate,Hypertension
BiPAP,Tobacco Use
Ascriptin,Drug Use
Betamethasone Valerate,Drug Use
Protopic,Diabetes Mellitus
Ritalin,Diabetes Mellitus
Niacin CR,Drug Use
Avonex,Tobacco Use
Calcium Citrate + D,Tobacco Use
Propecia,Essential Hypertension
Axert,Tobacco Use
Femhrt Low Dose,Tobacco Use
Zomig ZMT,Drug Use
Capsaicin,Esophageal Reflux
Oxygen,Alcohol Use
Prinzide,Alcohol
Fiber,Hyperlipidemia
Zantac 75,Hyperlipidemia
FA-Cyanocobalamin-Pyridoxine,Alcohol
Guaifenesin PSE,Hyperlipidemia
TobraDex,Alcohol
Excedrin,Stroke Syndrome
Anusol,Tobacco Use
Caltrate Plus,Tobacco Use
Precose,Tobacco Use
Naftin,Normal Routine History And Physical Geriatric (80 +)
Iodosorb,Diabetes Mellitus
Glucosamine Chondroitin,Depression
Viread,Stroke Syndrome
Ciclopirox,Esophageal Reflux
Relafen,Hypothyroidism
BD Insulin Syringe,Marital History - Currently Married
Novolin L,Hyperlipidemia
Midodrine HCl,Hypertension
Carbatrol,Hypertension
Rapaflo,Normal Routine History And Physical Geriatric (80 +)
Hyoscyamine Sulfate CR,Essential Hypertension
Sustiva,Depression
Vyvanse,Asthma
OneTouch Lancets,Coronary Artery Disease
Lactulose Encephalopathy,Hyperlipidemia
Calcitriol,Alcohol Use
Cetirizine HCl,Alcohol
Dorzolamide HCl,Alcohol
Intelence,Alcohol
Nicotrol,Alcohol
Xopenex HFA,Drug Use
Zaleplon,Alcohol Use
Pyridoxine HCl,Hyperlipidemia
Flagyl,Drug Use
Prochlorperazine Maleate,Tobacco Use
Chondroitin Complex,Drug Use
Fish Oil Double Strength,Drug Use
FreeStyle Lite,Drug Use
Naftin,Occupation:
BiPAP,Depression
Librax,Depression
Vit E-Vit C-Beta Carotene,Hyperlipidemia
Betamethasone Dipropionate,Drug Use
Azmacort,Essential Hypertension
Itraconazole,Allergic Rhinitis
Digitek,Alcohol Use
Sinus Rinse Bottle Kit,Occupation:
Chromagen Forte,Hypothyroidism
Fortical,Hypothyroidism
Stalevo 125,Hypothyroidism
Ascensia Breeze 2,Diabetes Mellitus
Methadone HCl,Hypertension
Senna-Docusate Sodium,Hysterectomy
Fluzone,Alcohol
Urso Forte,Alcohol
Ventolin,Allergic Rhinitis
Glumetza,Occupation:
Lorcet 10/650,Essential Hypertension
Bicillin L-A,Hypertension
Mucinex DM,Hypertension
Cortane-B,Drug Use
Cetirizine-Pseudoephedrine,Hypertension
Omeprazole-Sodium Bicarbonate,Hypertension
Calcium Citrate,Hypothyroidism
Sustiva,Hypertension
Midrin,Stroke Syndrome
Ortho Tri-Cyclen Lo,Hypertension
HumuLIN N Pen,Exercising Regularly
Ascriptin,Marital History - Currently Married
Viracept,Benign Essential Hypertension
Butalbital-Aspirin-Caffeine,Allergic Rhinitis
Mesalamine,Allergic Rhinitis
Optivar,Drug Use
Ethambutol HCl,Occupation:
Calcium Carbonate,Tobacco Use
Insulin Syringe/Needle,Drug Use
Solia,Alcohol
MiraLax,Alcohol
Calcium Citrate,Drug Use
Hyoscyamine Sulfate,Tobacco Use
BiPAP,Hypertension
Calcium + D + K,Hypertension
Magic Mouthwash,Asthma
Omega-3 Fish Oil,Arthritis
Bacitracin-Neomycin-Polymyxin,Esophageal Reflux
Debrox,Esophageal Reflux
MS Contin,Esophageal Reflux
Bisacodyl EC,Esophageal Reflux
Citracal + D,Esophageal Reflux
Fer-In-Sol,Upper Respiratory Infection
Lancets 30G,Depression
NovoLOG Mix 70/30 FlexPen,Depression
Quinine Sulfate,Anemia
Dulcolax Stool Softener,Alcohol Use
Robaxin,Alcohol Use
Hydrocodone-Guaifenesin,Allergic Rhinitis
PEG-3350/Electrolytes,Allergic Rhinitis
Pepcid Complete,Allergic Rhinitis
Zyvox,Hypertension
Mag-Ox 400,Coronary Artery Disease
Benzoyl Peroxide Wash,Tobacco Use
Hydromet,Essential Hypertension
Errin,Tobacco Use
Sotalol HCl (AF),Tobacco Use
Budeprion SR,Benign Essential Hypertension
BuSpar,Benign Essential Hypertension
Ciclopirox Olamine,Tobacco Use
Cimetidine,Esophageal Reflux
DermOtic,Esophageal Reflux
Zestril,Alcohol Use
Saw Palmetto,Hypertension
Fluocinonide,Asthma
Calcium Magnesium,Drug Use
Excedrin Migraine,Marital History - Currently Married
BenzaClin,Drug Use
Albuterol Sulfate HFA,Diabetes Mellitus
Bisacodyl,Benign Essential Hypertension
Acebutolol HCl,Alcohol
Promethazine VC/Codeine,Alcohol
Tikosyn,Alcohol
Blood Pressure Monitor,Drug Use
DynaCirc CR,"Joint Pain, Localized In The Knee"
HydrOXYzine Pamoate,Migraine Headache
Zerit,Hypertension
Sodium Bicarbonate,Tobacco Use
Tessalon Perles,Obesity
Detrol,Allergic Rhinitis
Bentyl,Hypothyroidism
Darvocet A500,Hyperlipidemia
Combivir,Marital History - Currently Married
Ocella,Alcohol
PredniSONE (Pak),Asthma
Santyl,Hypertension
Motrin IB,Stroke Syndrome
Calcium Citrate + D,Normal Routine History And Physical Geriatric (80 +)
Neoral,Drug Use
Gentian Violet,Diabetes Mellitus
Nova Max Glucose Test,Diabetes Mellitus
Hydrocod Polst-Chlorphen Polst,Migraine Headache
Tretinoin,Asthma
Sodium Bicarbonate,Drug Use
Ecotrin Low Strength,Tobacco Use
Sanctura XR,Benign Essential Hypertension
Lidocaine HCl,Essential Hypertension
Alphagan P,Allergic Rhinitis
Bromfed DM,Drug Use
Vivelle,Hypertension
Robaxin,Benign Essential Hypertension
Enulose,Allergic Rhinitis
Lidocaine HCl,Tobacco Use
Loratadine Allergy Relief,Anemia
Senokot,Normal Routine History And Physical Geriatric (80 +)
Kapidex,Hyperlipidemia
Aldara,Essential Hypertension
Accu-Chek Comfort Curve,Drug Use
Antipyrine-Benzocaine,Drug Use
FP Fish Oil,Hypertension
NiMODipine,Hypertension
Clonidine Patch,Coronary Artery Disease
Nicotine,Stroke Syndrome
Nystop,Benign Essential Hypertension
CitraNatal Assure,Drug Use
Vitamin B-12,Occupation:
Chlorzoxazone,Hypothyroidism
Errin,Hypothyroidism
Nevanac,Hysterectomy
Femcon Fe,Tobacco Use
BiPAP,Essential Hypertension
Calcium + D + K,Essential Hypertension
Kionex,Normal Routine History And Physical Geriatric (80 +)
Estraderm,Tobacco Use
Stalevo 150,Heart Disease
Atarax,Allergic Rhinitis
Midrin,Hyperlipidemia
Fosrenol,Tobacco Use
Lancets 28G,Tobacco Use
Lexiva,Exercising Regularly
Qualaquin,Tobacco Use
Santyl,Diabetes Mellitus
Glucosamine 1500 Complex,Marital History - Currently Married
Tobramycin,Marital History - Currently Married
Revatio,Allergic Rhinitis
Hydroxyurea,Depression
Prezista,Stroke Syndrome
Fosrenol,Type II Diabetes Mellitus
Ultram ER,Essential Hypertension
Acarbose,Depression
Afrin Nasal Spray,Depression
Artificial Tears,Depression
Ortho-Novum 1/35 (28),Diabetes Mellitus
Tobi,Previous Hospitalizations
Sonata,Hyperlipidemia
Minocycline HCl,Diabetes Mellitus
BD Insulin Syr Ultrafine II,Alcohol
NovoLOG PenFill,Alcohol
Betamethasone Valerate,Allergic Rhinitis
Mucinex DM,Essential Hypertension
Calcium 600,Normal Routine History And Physical Geriatric (80 +)
Elmiron,Drug Use
Potassium Gluconate,Essential Hypertension
Vitamin A & D,Essential Hypertension
Acetamin,"Joint Pain, Localized In The Knee"
Glucosamine 1500 Complex,Hysterectomy
Chlorthalidone,Exercising Regularly
Alphagan,Alcohol
Butalbital-APAP-Caff-Cod,Alcohol
Accu-Chek Compact Test Drum,Alcohol
Stalevo 100,Stroke Syndrome
Cardizem,Alcohol Use
Calcium Carbonate Antacid,Hypertension
Duetact,Hypertension
Mag-Ox,Hypertension
Vitamin C & E Combination,Hyperlipidemia
Zonalon,Hyperlipidemia
Bisacodyl EC,Acute Upper Respiratory Infection
Advicor,Essential Hypertension
Calcium 600+D,Tobacco Use
Co Q-10,Hypothyroidism
Levemir,Occupation:
Alrex,Drug Use
Citracal + D,Essential Hypertension
Acetylcysteine,Diabetes Mellitus
Remeron,Diabetes Mellitus
DermOtic,Arthritis
Diclofenac Potassium,Arthritis
Precision Xtra Blood Glucose,Arthritis
Coenzyme Q-10,Essential Hypertension
Rapaflo,Coronary Artery Disease
Fluvirin,Hypertension
Tums,Hypertension
Niferex-150,Hyperlipidemia
Questran,Hyperlipidemia
Remeron,Drug Use
Symlin,Alcohol
Bacitracin,Occupation:
Calcitonin (Salmon),Alcohol Use
Dulcolax Stool Softener,Arthritis
Lidocaine Viscous,Alcohol Use
Lutera,Alcohol
Progesterone Micronized,Caffeine Use
Testosterone Aqueous,Drug Use
Hydromet,Occupation:
Mag-Oxide,Drug Use
Alcohol Prep Pads,Drug Use
Stadol NS,Drug Use
Captopril,Diabetes Mellitus
Synvisc One,Depression
Doc-Q-Lace,Hypothyroidism
Acular,Hyperlipidemia
Tiazac,Hyperlipidemia
Viactiv,Hyperlipidemia
Paxil CR,Hyperlipidemia
Miconazole Nitrate,Benign Essential Hypertension
Regranex,Benign Essential Hypertension
Nitro-Dur,Hypertension
Revatio,Hypertension
MethylPREDNISolone,Drug Use
Antivert,Alcohol
OneTouch Ultra System,Alcohol
Fluocinolone Acetonide,Tobacco Use
Alavert,Esophageal Reflux
Ritalin,Hypertension
Citrucel,Alcohol
Otozone,Alcohol
Rondex-DM,Alcohol
Ascensia Microlet,Coronary Artery Disease
Syringe,Coronary Artery Disease
Gynazole-1,Drug Use
Entocort EC,Hypertension
AzaSite,Drug Use
Cortef,Hypothyroidism
Astepro,Hyperlipidemia
Multi For Her,Alcohol Use
Excedrin Migraine,Stroke Syndrome
Xopenex,Alcohol
Atopiclair,Asthma
Biotin,Essential Hypertension
Tylenol Arthritis Pain,Alcohol Use
ZyrTEC Childrens Allergy,Diabetes Mellitus
Prenatal Vitamin,Alcohol Use
Zyrtec-D,Essential Hypertension
MoviPrep,Alcohol Use
GlipiZIDE-MetFORMIN HCl,Tobacco Use
Florastor,Drug Use
Eucerin,Child Enrolled In Day-care
Uroxatral,Occupation:
Prevpac,Occupation:
Morphine Sulfate CR,Esophageal Reflux
Glycopyrrolate,Asthma
Tylenol Arthritis Pain,Esophageal Reflux
Ultracet,Hysterectomy
Phisohex,Diabetes Mellitus
Advil Junior Strength,Asthma
Calcium Carbonate,Alcohol
Sonata,Alcohol
GlipiZIDE-MetFORMIN HCl,Benign Essential Hypertension
Sudafed 12 Hour,Occupation:
Augmentin XR,Asthma
ZyPREXA,Tobacco Use
SMZ-TMP DS,Coronary Artery Disease
Centrum,Occupation:
Vagifem,Occupation:
Combigan,Drug Use
FreeStyle Lite,Alcohol
Hycodan,Alcohol
FreeStyle Lite,Tobacco Use
Naphcon,Tobacco Use
LamISIL,Diabetes Mellitus
EpiPen Jr,Caffeine Use
Viactiv,Marital History - Currently Married
Glyset,Diabetes Mellitus
AndroGel Pump,Diabetes Mellitus
Meridia,Allergic Rhinitis
Imiquimod,Asthma
Sensipar,Tobacco Use
Naproxen DR,"Joint Pain, Localized In The Knee"
FiberCon,Hypertension
Pletal,Hypertension
Calcium/Vitamin D/Minerals,Tobacco Use
Prenatal Forte,Tobacco Use
Vitamins C E,Tobacco Use
Diatx Zn,Essential Hypertension
HumuLIN 70/30 Pen,Essential Hypertension
Pseudoephedrine-Guaifenesin,Essential Hypertension
Hydrocortisone Butyrate,Child Enrolled In Day-care
Rondec,Asthma
Regranex,Hypothyroidism
Diltiazem HCl,Alcohol Use
Epivir,Alcohol
Citracal,Normal Routine History And Physical Geriatric (80 +)
Pepcid Complete,Marital History - Currently Married
Imodium,Heart Disease
Neomycin-Polymyxin-Dexameth,Essential Hypertension
Precision Xtra Blood Glucose,Exercising Regularly
Lotensin,Hypertension
Ciclopirox,Alcohol Use
Cortisporin-TC,Drug Use
Alli,Drug Use
Desoximetasone,Allergic Rhinitis
Didanosine,Exercising Regularly
Enbrel,Alcohol
Atrovent,Stroke Syndrome
Phenytoin Sodium,Stroke Syndrome
Brovana,Coronary Artery Disease
Rapamune,Occupation:
Ciclopirox,Occupation:
Syringe,Hypertension
Nitrostat,Alcohol Use
Pulmicort Flexhaler,Diabetes Mellitus
Glucotrol XL,Arthritis
Chromium Picolinate,Essential Hypertension
Insulin Isophane Pork,Essential Hypertension
Pepcid Complete,Essential Hypertension
Symlin,Hysterectomy
Zestoretic,Hysterectomy
AndroGel,Diabetes Mellitus
DuoNeb,Type II Diabetes Mellitus
Epogen,Type II Diabetes Mellitus
Pilocarpine HCl,Hypothyroidism
Ascensia Contour Test,Occupation:
SMZ-TMP DS,Occupation:
Vivelle,Occupation:
OneTouch Ultra System,Hypertension
Stool Softener,Alcohol Use
Ciprofloxacin-Ciproflox HCl,Obesity
Chlorthalidone,Never Smoked
Multiple Vitamin,Essential Hypertension
Treximet,Marital History - Currently Married
Tazorac,Tobacco Use
Prochlorperazine Maleate,Hypothyroidism
Cortisporin-TC,Diabetes Mellitus
Ethambutol HCl,Alcohol
Guiatuss,Tobacco Use
Reclast,Occupation:
Botox,Never Smoked
Restoril,Benign Essential Hypertension
Rhinocort,Benign Essential Hypertension
Amerge,Tonsillectomy
Ascensia Microlet,Essential Hypertension
Capsaicin,Essential Hypertension
Iron Supplement,Essential Hypertension
Desoximetasone,Drug Use
FiberCon,Hypothyroidism
Saline,Esophageal Reflux
Cytra-2,Hypothyroidism
Phisohex,Acute Upper Respiratory Infection
Lactulose Encephalopathy,Esophageal Reflux
Fexofenadine-Pseudoephedrine,Hypertension
BD Lancet Ultrafine 33G,Coronary Artery Disease
TRENtal,Coronary Artery Disease
Oxytrol,Hypertension
Atopiclair,Allergic Rhinitis
Bicillin L-A,Tobacco Use
Bumetanide,Alcohol
Pramipexole Dihydrochloride,Hyperlipidemia
Coreg CR,Occupation:
Ciprodex,Diabetes Mellitus
Norvir,Asthma
Rynatan Pediatric,Asthma
Xopenex Concentrate,Asthma
Lidocaine Viscous,Hyperlipidemia
Feosol,Hysterectomy
MetroGel-Vaginal,Tobacco Use
BD Ultra-Fine Needles 31 guage,Drug Use
Nystop,Hypertension
Truvada,Hyperlipidemia
Chantix,Alcohol Use
Folbic,Benign Essential Hypertension
Sudafed 12 Hour,Hypothyroidism
Alli,Alcohol
ALPRAZolam XR,Alcohol
Cordran,Depression
FreeStyle Freedom Lite,Alcohol
Kadian,Alcohol
Lotensin HCT,Alcohol
Aranesp,Hyperlipidemia
Dilt-XR,Hyperlipidemia
PHENobarbital,Diabetes Mellitus
Micardis HCT,Alcohol Use
Melatonin,Alcohol
Seasonale,Marital History - Currently Married
Zantac,Hyperlipidemia
Exelon,Diabetes Mellitus
Requip,Alcohol Use
Micardis HCT,Occupation:
Guaifenesin AC,Diabetes Mellitus
Ciprodex,Drug Use
Betamethasone Valerate,Essential Hypertension
Haloperidol,Alcohol
Calcium 600+D,Esophageal Reflux
Levocetirizine Dihydrochloride,Esophageal Reflux
Morphine Sulfate CR,Hypothyroidism
Enalapril-Hydrochlorothiazide,Esophageal Reflux
Metaxalone,Esophageal Reflux
Claritin Reditabs,Child Enrolled In Day-care
Nifediac CC,Diabetes Mellitus
Soma,Occupation:
Retin-A Micro Pump,Alcohol
Loratadine-D 24HR,Diabetes Mellitus
Rozerem,Hypertension
Alli,Allergic Rhinitis
Prochlorperazine Maleate,Diabetes Mellitus
Betamethasone Dipropionate,Benign Essential Hypertension
Flax Seed Oil,Marital History - Currently Married
Niferex-150,Hypertension
Acidophilus,Alcohol
Lidocaine Viscous,Diabetes Mellitus
Zemplar,Occupation:
Antara,Heart Disease
Alcohol Prep Pads,Tobacco Use
Benzoyl Peroxide,Hypertension
Antipyrine-Benzocaine,Hypertension
Pyridoxine HCl,Tobacco Use
Bethanechol Suspension,Allergic Rhinitis
Propecia,Allergic Rhinitis
Catapres,Obesity
Pradaxa,Alcohol Use
Iron Supplement,Hyperlipidemia
Doxepin HCl,Tobacco Use
Medrol,Alcohol Use
Blood Pressure,Hypertension
Frova,Tonsillectomy
HumuLIN R U-500 (CONCENTRATED),Tobacco Use
HumaLOG Mix 75/25,Occupation:
Catapres-TTS-2,Anemia
Xifaxan,Hypertension
Sulindac,Essential Hypertension
Gentamicin Sulfate,Alcohol Use
Guaifenesin AC Expectorant,Hyperlipidemia
Theophylline CR,Hyperlipidemia
CoQ-10,Stroke Syndrome
Cefuroxime Axetil,Diabetes Mellitus
Carafate,Hyperlipidemia
DermOtic,Never Smoked
Cefpodoxime Proxetil,Occupation:
Ester C,Hyperlipidemia
Robitussin Cough/Congestion,Hyperlipidemia
Pulmicort Flexhaler,Tobacco Use
Piroxicam,Diabetes Mellitus
Kadian,Drug Use
Mag-Oxide,Benign Essential Hypertension
Mentax,Benign Essential Hypertension
Nulytely,Benign Essential Hypertension
Bactrim,Asthma
Fer-In-Sol,Asthma
Tarka,Exercising Regularly
Rondec DM,Asthma
Testim,Diabetes Mellitus
Ciclopirox Olamine,Drug Use
Hydrocortisone,Tobacco Use
Dulcolax,Depression
Hytrin,Marital History - Currently Married
Lotemax,Essential Hypertension
Flecainide Acetate,Esophageal Reflux
Triazolam,Esophageal Reflux
Sprintec 28,Hypertension
Guaifenesin-DM,Hypertension
Clindamycin Palmitate HCl,Diabetes Mellitus
Loratadine Allergy Relief,Esophageal Reflux
Fluorouracil,Drug Use
Guiatuss AC,Hysterectomy
Monopril,Hysterectomy
Epiduo,Anemia
Diovan HCT 320-12.5 MG Tablet,Coronary Artery Disease
Gentian Violet,Coronary Artery Disease
Integra Plus,Coronary Artery Disease
Triglide,Coronary Artery Disease
Levaquin LEVA-pak,Alcohol Use
Travatan,Stroke Syndrome
Fortamet,Benign Essential Hypertension
Zonegran,Stroke Syndrome
Bicillin C-R,Occupation:
"Pen Needles 1/2""",Allergic Rhinitis
Prenate Elite,Drug Use
Santyl,Tobacco Use
Calcium 500+D,Alcohol Use
Calcium 500+D,Hypertension
Preparation H,Diabetes Mellitus
Brimonidine Tartrate,Alcohol
Gianvi,Alcohol
MS Contin,Alcohol
Sinus Rinse Bottle Kit,Alcohol
BuPROPion HCl (Smoking Deter),Coronary Artery Disease
Catapres,Coronary Artery Disease
Erythromycin Base,Hyperlipidemia
Restoril,Alcohol Use
Doxepin HCl,Allergic Rhinitis
Micardis,Occupation:
Hydrocortisone Acetate,Diabetes Mellitus
Kionex,Diabetes Mellitus
Remeron,Esophageal Reflux
Tylenol,Asthma
Vitamin D-3,Arthritis
Aspirin Buffered,Drug Use
Chloraseptic Gargle,Drug Use
Ipratropium-Albuterol,Essential Hypertension
Prandin,Alcohol
